layer,nr,cvs,kappas,type
0,167,0.00000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,168,1.50000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,169,1.50000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,170,1.50000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,171,1.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,172,1.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,173,1.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,174,1.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,175,1.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,176,1.50000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,177,1.50000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,178,1.50000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,179,1.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,180,1.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,181,1.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,182,1.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,183,1.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,184,1.50000000*10.50000000,2.00000000e+00*2.00000000e+00,node
0,185,1.50000000*12.00000000,2.00000000e+00*2.00000000e+00,node
0,186,1.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,187,1.50000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,188,3.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,189,3.00000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,190,3.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,191,3.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,192,3.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,193,3.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,194,3.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,195,3.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,196,3.00000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,197,3.00000000*0.00000000,2.00000000e+00*2.00000000e+00,node
0,198,3.00000000*1.50000000,2.00000000e+00*2.00000000e+00,node
0,199,3.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,200,3.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,201,3.00000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,202,3.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,203,3.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,204,3.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,205,3.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,206,3.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,207,3.00000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,208,4.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,209,4.50000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,210,4.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,211,4.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,212,4.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,213,4.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,214,4.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,215,4.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,216,4.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,217,4.50000000*0.00000000,2.00000000e+00*2.00000000e+00,node
0,218,4.50000000*1.50000000,2.00000000e+00*2.00000000e+00,node
0,219,4.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,220,4.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,221,4.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,222,4.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,223,4.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,224,4.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,225,4.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,226,4.50000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,227,4.50000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,228,6.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,229,6.00000000*-12.00000000,8.00000000e+00*8.00000000e+00,node
0,230,6.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,231,6.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,232,6.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,233,6.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,234,6.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,235,6.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,236,6.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,237,6.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,238,6.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,239,6.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,240,6.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,241,6.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,242,6.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,243,6.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,244,6.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,245,6.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,246,6.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,247,7.50000000*-12.00000000,8.00000000e+00*8.00000000e+00,node
0,248,7.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,249,7.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,250,7.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,251,7.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,252,7.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,253,7.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,254,7.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,255,7.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,256,7.50000000*1.50000000,1.60000000e+01*1.60000000e+01,node
0,257,7.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,258,7.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,259,7.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,260,7.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,261,7.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,262,7.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,263,7.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,264,9.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,265,9.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,266,9.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,267,9.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,268,9.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,269,9.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,270,9.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,271,9.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,272,9.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,273,9.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,274,9.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,275,9.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,276,9.00000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,277,9.00000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,278,9.00000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,279,9.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,280,10.50000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,281,10.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,282,10.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,283,10.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,284,10.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,285,10.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,286,10.50000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,287,10.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,288,10.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,289,10.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,290,10.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,291,10.50000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,292,10.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,293,10.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,294,10.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,295,12.00000000*-7.50000000,2.00000000e+00*2.00000000e+00,node
0,296,12.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,297,12.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,298,12.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,299,12.00000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,300,12.00000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,301,12.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,302,12.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,303,12.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,304,12.00000000*6.00000000,2.00000000e+00*2.00000000e+00,node
0,305,12.00000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,306,13.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,307,13.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,308,13.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,309,13.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,310,13.50000000*3.00000000,2.00000000e+00*2.00000000e+00,node
0,311,13.50000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,312,13.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,313,15.00000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,314,15.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,315,15.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,316,15.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
