layer,nr,cvs,kappas,type
0,229,0.00000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,230,0.00000000*16.50000000,8.00000000e+00*8.00000000e+00,node
0,231,0.00000000*18.00000000,8.00000000e+00*8.00000000e+00,node
0,232,1.50000000*-18.00000000,2.00000000e+00*2.00000000e+00,node
0,233,1.50000000*-16.50000000,4.00000000e+00*4.00000000e+00,node
0,234,1.50000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,235,1.50000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,236,1.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,237,1.50000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,238,1.50000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,239,1.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,240,1.50000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,241,1.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,242,1.50000000*-3.00000000,1.00000000e+00*1.00000000e+00,node
0,243,1.50000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,244,1.50000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,245,1.50000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,246,1.50000000*3.00000000,1.00000000e+00*1.00000000e+00,node
0,247,1.50000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,248,1.50000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,249,1.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,250,1.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,251,1.50000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,252,1.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,253,1.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,254,1.50000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,255,1.50000000*16.50000000,4.00000000e+00*4.00000000e+00,node
0,256,1.50000000*18.00000000,2.00000000e+00*2.00000000e+00,node
0,257,3.00000000*-16.50000000,2.00000000e+00*2.00000000e+00,node
0,258,3.00000000*-15.00000000,8.00000000e+00*8.00000000e+00,node
0,259,3.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,260,3.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,261,3.00000000*-10.50000000,1.60000000e+01*1.60000000e+01,node
0,262,3.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,263,3.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,264,3.00000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,265,3.00000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,266,3.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,267,3.00000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,268,3.00000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,269,3.00000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,270,3.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,271,3.00000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,272,3.00000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,273,3.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,274,3.00000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,275,3.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,276,3.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,277,3.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,278,3.00000000*15.00000000,1.60000000e+01*1.60000000e+01,node
0,279,3.00000000*16.50000000,4.00000000e+00*4.00000000e+00,node
0,280,4.50000000*-16.50000000,8.00000000e+00*8.00000000e+00,node
0,281,4.50000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
0,282,4.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,283,4.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,284,4.50000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,285,4.50000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,286,4.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,287,4.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,288,4.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,289,4.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
0,290,4.50000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,291,4.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,292,4.50000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,293,4.50000000*3.00000000,1.60000000e+01*1.60000000e+01,node
0,294,4.50000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,295,4.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,296,4.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,297,4.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,298,4.50000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,299,4.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,300,4.50000000*13.50000000,1.60000000e+01*1.60000000e+01,node
0,301,4.50000000*15.00000000,8.00000000e+00*8.00000000e+00,node
0,302,4.50000000*16.50000000,4.00000000e+00*4.00000000e+00,node
0,303,6.00000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
0,304,6.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,305,6.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,306,6.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,307,6.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,308,6.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,309,6.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,310,6.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,311,6.00000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
0,312,6.00000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,313,6.00000000*0.00000000,1.60000000e+01*1.60000000e+01,node
