layer,nr,cvs,kappas,type
1,99,11.25000000*-14.25000000,1.60000000e+01*1.60000000e+01,node
1,100,11.25000000*12.75000000,4.00000000e+00*4.00000000e+00,node
1,101,12.00000000*-14.25000000,3.20000000e+01*3.20000000e+01,node
1,102,12.00000000*12.75000000,4.00000000e+00*4.00000000e+00,node
1,103,12.75000000*-14.25000000,1.60000000e+01*1.60000000e+01,node
1,104,12.75000000*12.75000000,3.20000000e+01*3.20000000e+01,node
1,105,15.75000000*9.75000000,4.00000000e+00*4.00000000e+00,node
1,106,15.75000000*10.50000000,8.00000000e+00*8.00000000e+00,node
1,107,15.75000000*11.25000000,3.20000000e+01*3.20000000e+01,node
1,108,16.50000000*9.75000000,8.00000000e+00*8.00000000e+00,node
1,109,16.50000000*11.25000000,1.60000000e+01*1.60000000e+01,node
1,110,17.25000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,111,17.25000000*3.75000000,1.60000000e+01*1.60000000e+01,node
1,112,17.25000000*9.75000000,8.00000000e+00*8.00000000e+00,node
1,113,17.25000000*11.25000000,3.20000000e+01*3.20000000e+01,node
1,114,18.00000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,115,18.00000000*3.75000000,8.00000000e+00*8.00000000e+00,node
1,116,18.75000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,117,18.75000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
1,118,18.75000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,119,18.75000000*2.25000000,8.00000000e+00*8.00000000e+00,node
1,120,18.75000000*3.00000000,1.60000000e+01*1.60000000e+01,node
1,121,18.75000000*3.75000000,1.60000000e+01*1.60000000e+01,node
1,122,18.75000000*4.50000000,6.40000000e+01*6.40000000e+01,node
1,123,18.75000000*5.25000000,1.60000000e+01*1.60000000e+01,node
1,124,19.50000000*3.75000000,4.00000000e+00*4.00000000e+00,node
1,125,20.25000000*3.75000000,1.60000000e+01*1.60000000e+01,node
1,126,-19.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,127,-18.00000000*-3.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,128,-12.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,129,-12.00000000*-12.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,130,-6.00000000*-18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,131,-6.00000000*-16.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,132,-3.00000000*-1.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,133,-1.50000000*0.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,134,0.00000000*18.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,135,0.00000000*19.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,136,1.50000000*18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,137,3.00000000*-1.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,138,4.50000000*16.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,139,6.00000000*-18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,140,6.00000000*16.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,141,6.00000000*18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,142,7.50000000*-18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,143,7.50000000*-16.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,144,7.50000000*18.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,145,7.50000000*19.50000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,146,12.00000000*-15.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,147,12.00000000*-13.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,148,12.00000000*12.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,149,12.00000000*13.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,150,15.00000000*10.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,151,16.50000000*9.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,152,16.50000000*10.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,153,16.50000000*12.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,154,18.00000000*-4.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
